행정구역,2024년11월_남_총인구수,2024년11월_남_연령구간인구수,2024년11월_남_0~9세,2024년11월_남_10~19세,2024년11월_남_20~29세,2024년11월_남_30~39세,2024년11월_남_40~49세,2024년11월_남_50~59세,2024년11월_남_60~69세,2024년11월_남_70~79세,2024년11월_남_80~89세,2024년11월_남_90~99세,2024년11월_남_100세 이상,2024년11월_여_총인구수,2024년11월_여_연령구간인구수,2024년11월_여_0~9세,2024년11월_여_10~19세,2024년11월_여_20~29세,2024년11월_여_30~39세,2024년11월_여_40~49세,2024년11월_여_50~59세,2024년11월_여_60~69세,2024년11월_여_70~79세,2024년11월_여_80~89세,2024년11월_여_90~99세,2024년11월_여_100세 이상
서울특별시  (1100000000),4507664,4507664,248988,369160,618386,721116,685509,731718,626930,348091,144068,13368,330,4827831,4827831,236534,352556,694359,719488,702180,755916,697519,421988,210459,35681,1151
서울특별시 종로구 (1111000000),66673,66673,2829,4617,9887,9787,8999,11544,10508,5423,2715,352,12,71904,71904,2722,4813,11173,9908,9599,11869,10508,6439,4100,745,28
서울특별시 종로구 청운효자동(1111051500),5045,5045,290,513,656,690,768,859,640,367,231,29,2,6027,6027,259,503,673,829,1006,1031,793,539,330,63,1
서울특별시 종로구 사직동(1111053000),3978,3978,206,265,428,635,613,682,588,299,219,39,4,5033,5033,212,361,613,803,800,777,691,416,299,58,3
서울특별시 종로구 삼청동(1111054000),1067,1067,38,93,121,130,153,158,186,116,61,11,0,1153,1153,45,64,118,159,155,175,195,134,88,20,0
서울특별시 종로구 부암동(1111055000),4239,4239,192,422,517,575,608,725,642,351,182,25,0,4806,4806,184,343,529,616,732,901,744,428,260,67,2
서울특별시 종로구 평창동(1111056000),7988,7988,497,733,933,975,1075,1373,1331,686,328,54,3,9251,9251,441,786,978,1064,1342,1727,1494,792,490,128,9
서울특별시 종로구 무악동(1111057000),3607,3607,215,391,373,387,579,719,515,270,138,20,0,4262,4262,282,533,423,438,667,696,591,348,247,33,4
서울특별시 종로구 교남동(1111058000),4392,4392,358,354,494,638,759,791,527,302,155,14,0,5161,5161,361,375,573,782,882,834,660,432,225,37,0
서울특별시 종로구 가회동(1111060000),1779,1779,92,157,178,246,275,327,254,160,80,10,0,2016,2016,61,145,199,266,326,345,294,209,144,26,1
서울특별시 종로구 종로1.2.3.4가동(1111061500),4007,4007,86,106,468,573,507,728,883,446,190,18,2,2666,2666,64,106,492,407,334,337,422,288,183,31,2
서울특별시 종로구 종로5.6가동(1111063000),2782,2782,72,87,483,523,326,469,465,225,122,10,0,2515,2515,66,105,596,414,252,345,337,239,137,24,0
서울특별시 종로구 이화동(1111064000),3270,3270,80,166,671,629,389,490,443,260,129,13,0,3733,3733,87,164,874,623,403,510,491,323,218,40,0
서울특별시 종로구 혜화동(1111065000),7636,7636,238,582,2122,1070,895,1106,843,449,294,36,1,8274,8274,234,597,2184,976,947,1219,908,656,471,77,5
서울특별시 종로구 창신제1동(1111067000),2350,2350,50,86,277,326,254,422,579,250,97,9,0,2136,2136,47,79,272,275,204,386,443,252,156,22,0
서울특별시 종로구 창신제2동(1111068000),3779,3779,81,163,459,517,416,818,799,363,143,20,0,3563,3563,71,152,418,382,329,756,747,414,264,30,0
서울특별시 종로구 창신제3동(1111069000),3070,3070,141,199,402,465,406,530,554,249,101,23,0,3165,3165,129,201,354,447,381,601,543,298,187,24,0
서울특별시 종로구 숭인제1동(1111070000),2779,2779,88,168,342,403,401,531,491,251,97,7,0,2966,2966,85,161,371,400,373,532,516,294,193,40,1
서울특별시 종로구 숭인제2동(1111071000),4905,4905,105,132,963,1005,575,816,768,379,148,14,0,5177,5177,94,138,1506,1027,466,697,639,377,208,25,0
서울특별시 중구 (1114000000),58247,58247,2737,2986,7519,10797,8365,9337,9152,4935,2184,228,7,62684,62684,2631,2974,9297,10861,8142,9337,9276,5877,3587,686,16
서울특별시 중구 소공동(1114052000),1015,1015,69,51,73,210,252,165,115,52,25,3,0,1170,1170,63,95,135,248,275,153,103,60,31,7,0
서울특별시 중구 회현동(1114054000),2256,2256,80,104,203,259,262,409,533,272,118,16,0,2072,2072,73,95,210,285,243,347,387,258,132,40,2
