행정구역,2024년11월_계_총인구수,2024년11월_계_연령구간인구수,2024년11월_계_0~9세,2024년11월_계_10~19세,2024년11월_계_20~29세,2024년11월_계_30~39세,2024년11월_계_40~49세,2024년11월_계_50~59세,2024년11월_계_60~69세,2024년11월_계_70~79세,2024년11월_계_80~89세,2024년11월_계_90~99세,2024년11월_계_100세 이상
서울특별시  (1100000000),9335495,9335495,485522,721716,1312745,1440604,1387689,1487634,1324449,770079,354527,49049,1481
서울특별시 종로구 (1111000000),138577,138577,5551,9430,21060,19695,18598,23413,21016,11862,6815,1097,40
서울특별시 종로구 청운효자동(1111051500),11072,11072,549,1016,1329,1519,1774,1890,1433,906,561,92,3
서울특별시 종로구 사직동(1111053000),9011,9011,418,626,1041,1438,1413,1459,1279,715,518,97,7
서울특별시 종로구 삼청동(1111054000),2220,2220,83,157,239,289,308,333,381,250,149,31,0
서울특별시 종로구 부암동(1111055000),9045,9045,376,765,1046,1191,1340,1626,1386,779,442,92,2
서울특별시 종로구 평창동(1111056000),17239,17239,938,1519,1911,2039,2417,3100,2825,1478,818,182,12
서울특별시 종로구 무악동(1111057000),7869,7869,497,924,796,825,1246,1415,1106,618,385,53,4
서울특별시 종로구 교남동(1111058000),9553,9553,719,729,1067,1420,1641,1625,1187,734,380,51,0
서울특별시 종로구 가회동(1111060000),3795,3795,153,302,377,512,601,672,548,369,224,36,1
서울특별시 종로구 종로1.2.3.4가동(1111061500),6673,6673,150,212,960,980,841,1065,1305,734,373,49,4
서울특별시 종로구 종로5.6가동(1111063000),5297,5297,138,192,1079,937,578,814,802,464,259,34,0
서울특별시 종로구 이화동(1111064000),7003,7003,167,330,1545,1252,792,1000,934,583,347,53,0
서울특별시 종로구 혜화동(1111065000),15910,15910,472,1179,4306,2046,1842,2325,1751,1105,765,113,6
서울특별시 종로구 창신제1동(1111067000),4486,4486,97,165,549,601,458,808,1022,502,253,31,0
서울특별시 종로구 창신제2동(1111068000),7342,7342,152,315,877,899,745,1574,1546,777,407,50,0
서울특별시 종로구 창신제3동(1111069000),6235,6235,270,400,756,912,787,1131,1097,547,288,47,0
서울특별시 종로구 숭인제1동(1111070000),5745,5745,173,329,713,803,774,1063,1007,545,290,47,1
